speaker,saying,categories
독일 속담,옷이 사람을 만든다.,"['옷(clothes)', '사람']"
한국 속담,물은 건너봐야 알고 사람은 지내봐야 안다.,"['사람', '사람평가']"
『채근담』,"숲이나 시냇가를 거닐면 세상의 잡념이 사라지고, 시서(詩書)나 그림 속에 한가롭게 지내면 세속 기운이 사라진다.","['마음', '잡념', '걷기']"
영국 속담,무슨 일이든지 된다고 생각하면 이루어진다.,"['자신감', '믿음']"
『채근담』,아무리 여러 사람의 반대가 있더라도 양심에 옳다고 생각되거든 단연코 행하라. 남이 반대한다고 해서 자기의 신념을 꺾지 마라. 때로는 그와 같은 의지와 용기가 필요하다.,"['양심', '행동', '신념']"
세네카,우리는 어떠한 지배자 밑에 있는 것이 아니다. 자기 정신이 지배하고 있다. 자기 힘으로 하라!,"['지배', '자기자신']"
베르그송,"사색하는 사람으로서 행동하고, 행동하는 사람으로서 사색하여야 한다.","['사색', '행동']"
토머스 페인,기독교라는 종교 체계는 상식에 대한 모독이다.,"['기독교', '상식']"
한국 속담,옷이 날개다.,"['옷(clothes)', '외모']"
괴테,선을 행하는 데는 나중이라는 말이 필요없다.,"['선행', '선(good)']"
영국 속담,여행의 벗은 인생의 벗이다.,"['여행', '벗']"
체스터필드,"기지를 사용하려면 기쁘게 하기 위해서 쓰고, 상처를 주기 위해 쓰지 말라.",['기지']
벤저민 프랭클린,"충고는 해 줄 수 있으나, 행동하게 할 수는 없다.","['충고', '행동']"
키케로,"교훈을 주는 일, 기쁘게 해 주는 일, 움직이는 것, 이것이 웅변의 세 요건이다.",['웅변']
보브나르그,격언은 철학자들의 기지의 용솟음이다.,"['격언', '철학자']"
데일 카네기,"실수하면 사과하라! 자신의 행동이나 말실수 그 어떤 것이든 상대방의 기분을 상하게 하거나 피해가 갔다면 이유여하를 막론, 절대 변명하지 말고 정중하게 사과하라. 이건 결코 겉치레가 아니다. 결코 당신이 낮아지는 것이 아니다.자신의 잘못을 당당히 인정하고 같은 실수를 되풀이 하지 않기 위해 노력하는 첫 걸음이다.","['실수', '사과']"
안창호,"견고한 기초 위에 좋은 건설이 있고, 튼튼한 뿌리 위에 좋은 꽃과 열매가 있다.","['기초', '건설']"
강태공,"착한 것을 보거든 목마를 때 물 보듯이 하고, 악한 것을 듣거든 귀머거리같이 하라. 착한 일은 모름지기 탐내고 악한 일은 모름지기 즐겨하지 말라.","['선(good)', '악(evil)']"
요한 볼프강 폰 괴테,"반드시 진리가 구체화할 필요는 없다. 진리가 우리의 정신속에 깃들이고 공감을 불러일으키고, 그리하여 종소리처럼 힘세고 자비롭게 공기속에 울리기만 하면 충분하다.","['진리', '정신']"
그라시안,대세를 거스르지 않는 편이 안전하다. 좋은 것이 있다면 어떻게 해서든 닮으려고 노력해야 한다.,"['대세', '안전', '처세']"
아르투르 쇼펜하우어,"평범한 능력밖에 없는 사람에게 겸손은 순수한 마음의 표상이 되지만, 훌륭한 능력을 지닌 사람에게 겸손은 위선일 뿐이다.","['능력', '겸손', '위선']"
셰익스피어,"역경이 사람한테 부여하는 것이야말로 아름답구나. 그것은 두꺼비와 같아서 더럽고 독을 품고는 있지만, 그 머리 속에는 보옥(寶玉)을 감추고 있다.",['역경']
러시아 속담,"지나치게 긁으면 피부를 상하듯이, 지나치게 지껄이면 마음을 상한다.","['말(words)', '수다']"
오스트레일리아 속담,"지나가는 구름은 볼 수가 있다. 그러나, 지나가는 생각은 볼 수가 없다.","['구름', '생각']"
R. 브라우닝,대지는 변하지만 영혼과 신은 변하지 않는다.,"['영혼', '신(god)']"
폴 발레리,과학은 단순히 항상 성공한 모든 방법의 집대성를 의미 한다. 나머지는 모두 문학이다.,"['과학', '문학']"
클로드 베르나르,"관찰은 소극적인 과학이고, 실험은 적극적인 과학이다.","['관찰', '실험', '과학']"
클로드 베르나르,"진정한 과학은, 의심하기와 무지를 멀리하기를 가르쳐준다.","['과학', '의심', '무지']"
소포클레스,이성은 하나님이 준 가장 잘 선택된 선물이다.,"['이성(reason)', '선물']"
W. 블레이크,하나의 생각이 무한한 공간을 채운다.,['생각']
나폴레옹,"사람은 그의 아내, 그의 가족, 게다가 그의 부하에 대한 행위로 알 수 있다.","['사람', '사람평가', '행위']"
독일 속담,알고 있는 모든 것을 말하지 말라. 들은 것을 모두 믿지 말라. 할 수 있는 일을 모두 하지 말라.,"['말(words)', '믿음', '행동']"
T. 페인,"의심은 천한 영혼들의 친구요, 좋은 교제의 독이다.","['의심', '영혼', '교제']"
스트라빈스키,"창조하기 위해서는 역동적인 힘이 있어야 하는데, 어떤 힘이 사랑보다 더 유력한가?","['창조', '사랑']"
프랭클린,오늘의 하나는 내일의 둘보다 낫다.,"['소유', '오늘', '내일']"
퀴리 부인,미래는 인간의 수중에 있다.,"['미래', '인간']"
퀴리 부인,미치광이처럼 사치와 부를 추구하는 사회에서는 과학이 인간 사회의 가장 가치 있는 정신적 유산이라는 것을 알 리가 없다.,"['과학', '인간', '사회']"
몽테뉴,"나는 결국 내가 궁지에 빠졌을 때 내 일은 나 자신에게 의탁하는 것이 가장 상책이라고 생각하게 되었다. 사람은 무슨 일에 있어서나 남의 도움을 바랄 뿐이지 자기 스스로의 도움에 의탁할 마음은 적다. 그러나 남의 도움이라는 것은 늘 확실치 못한 것이다. 작은 대로, 부족한 대로 가장 확실한 것은 나 자신 속에서 찾는 힘이다. 나는 내 몸을 나의 마음에 맡기는 것이 무엇보다도 가장 확실하고 안전한 것임을 깨닫게 되었던 것이다.","['자기자신', '도움', '내면', '마음']"
T. 제퍼슨,실제로 일어나지도 않은 걱정거리가 얼마나 우리들에게 타격을 주었던가.,['걱정']
H.J. 입센,타인을 위하여 노력하는 정도로써 자기의 능력을 계량(計量)할 수 있다.,"['노력', '자기계발']"
솔론,"항상, 눈을 그 일생의 큰 계획으로 집중시켜라.","['일생', '계획']"
D.H. 로렌스,"어떤 점에서는 자기가 남보다 뛰어났다 하더라도 그것을 의지하지 않는 것이 좋다. 또 어떤 점에 있어서 자기가 남보다 열등하더라도 그것을 비관할 필요는 없다. 잘난 사람도 다른 점에 있어서는 남만 못할 것이며 못난 사람도 어떤 점에 있어서는 남보다 나을 수 있다. 자기를 뛰어나다고 생각하는 것은 도리어 무거운 짐을 짊어진 거나 다름이 없는 것이며, 또 자기가 남보다 못하다는 열등의식도 하나의 정신적 부담을 가하는 일이며 자칫하면 남을 시기하고 혹은 고독에 빠지기 쉽다. 당신에게 부족한 것은 다른 것으로 메우도록 노력하라.","['재능', '열등', '의지', '사람']"
일본 속담,몽둥이만큼 바라지만 바늘만큼 이루어진다.,"['소원', '성취']"
라 로시푸코,희망과 두려움은 떼어놓을 수 없다. 희망이 없는 두려움도 없으려니와 두려움 없는 희망도 없다.,"['희망', '두려움']"
A. 카뮈,인간에게는 각기 운명이 있다 할지라도 인간을 초월한 운명이란 없다.,"['인간', '운명']"
라 로시푸코,너무 성급하게 은혜를 갚으려는 것은 일종의 망은 행위다.,"['은혜', '보은']"
새뮤얼 테일러 콜리지,"희망이 없는 일은 헛수고이고, 목적 없는 희망은 지속할 수 없다.","['희망', '일(work)', '목적']"
토인비,"어떤 사회와 문화가 유지되는 것은 바로 그 민족의 정신력, 즉 민족의 얼에 따라 좌우된다.","['사회', '문화', '민족', '정신력']"
소크라테스,자기의 부모를 섬길 줄 모르는 사람과는 벗하지 말라. 왜냐하면 그는 인간의 첫걸음을 벗어났기 때문이다.,"['부모', '효도', '벗(friend)']"
나폴레옹,숭고한 인간과 못난 인간의 차이는 한 발 앞서거나 한 발 뒤떨어진 차이밖에 나지 않는다.,"['인간', '차이']"
파스칼,우리들이 진실을 깨닫게 되는 것은 이성뿐만 아니라 감정을 통해서도 이루어진다.,"['진실', '이성(reason)', '감정']"
체스터필드,"금화는 경제생활의 안정제이고, 바른 매너는 사회생활의 안정제이다.","['금화', '돈(money)', '매너(manner)']"
랄프 왈도 에머슨,무엇이든 자신이 태어나기 전보다 조금이라도 나은 세상을 만들어놓고 가는 것. 당신이 이곳에 살다간 덕분에 단 한 사람의 삶이라도 더 풍요로워지는 것 이것이 바로 성공이다.,"['삶', '성공', '세상']"
키케로,명예가 덕을 따르는 것은 마치 그림자가 물체를 따르는 것과 같다.,"['명예', '덕(virtue)']"
공자,다른 사람을 대할 때 그 사람의 몸도 내 몸같이 소중히 여기라. 내 몸만 귀한 것이 아니다. 남의 몸도 소중하다는 것을 잊지 마라.,"['인간관계', '몸(body)']"
파스칼,사람은 그 자신을 알아야 한다. 그것이 진리를 발견하는 데는 도움이 안 된다고 하더라도 적어도 그의 생활을 통제하는 데는 필요하다.,"['사람', '자기자신', '앎']"
이솝,불행한 사람은 더욱 불행한 사람들에 의해서 위안을 받는다.,"['불행', '사람', '위안']"
플리니우스,행복하면 행복할수록 세월은 빨리 흐른다.,"['행복', '세월']"
호메로스,큰 일을 치르고 나면 바보도 슬기로와진다.,"['경험', '바보']"
키츠,낙담은 절망의 어머니.,"['낙담', '절망']"
리히텐베르크,기회는 도둑을 만들 뿐 아니라 위대한 인간도 만든다.,"['기회', '도둑', '위인']"
D. 웹스터,"성경은 신앙의 책이요, 교회의 책이요, 도덕의 책이요, 종교의 책이요, 신으로부터 특별히 보내진 묵시의 책이지만 인간 자신의 개인적 책임, 인간 자신의 존엄성, 동포와의 평등을 가르치는 책이기도 하다.","['성경', '인간']"
바가바드 기타,"지옥에는 문이 셋 있다. 육욕, 분노, 탐욕.","['지옥', '육욕', '분노', '탐욕']"
루터,사람이 신 앞에서 의로운 것은 오직 신앙에 의해서만이다.,"['사람', '신(god)', '신앙']"
비트겐슈타인,말에는 음악이 깃들어 있다.,"['말(words)', '음악']"
비트겐슈타인,우리는 남에게 자신의 속마음을 감추고 싶어한다. 인간의 마음이란 아름답게만 간직되는 것은 아니기 때문이다.,"['인간', '마음']"
『법구경』,"꽃은 바람을 거역해서 향기를 낼 수 없지만, 선하고 어진 사람이 풍기는 향기는 바람을 거역하여 사방으로 번진다.","['선인', '인품', '향기']"
몰리에르,사랑없이 사는 것은 정말로 사는 것이 아니다.,"['사람', '삶']"
영국 속담,농담은 가장 재미있는 부문에서 멈춰라.,['농담']
세네카,사람은 인생을 어떤 방법으로 살아야 하는지를 평생을 통해 배워야 한다. 또한 사람은 어떻게 죽는 것이 좋은지를 배우기 위해서도 평생을 보낸다.,"['인생', '삶', '배움', '죽음']"
몽테뉴,"만약에 내가 또 다시 이 인생을 되풀이해야 한다면 내가 지내왔던 생활을 다시 하고 싶다. 과거를 후회하지 않고, 미래를 두려워하지도 않기 때문이다.","['인생', '과거', '미래']"
도스토예프스키,"어떤 사람이라도, 어떤 목적과 그 목적과 그 목적을 이룩하려는 노력 없이는 살지 않는다. 일단 목적과 희망이 사라져 버리면 인간은 고뇌로 말미암아 괴물이 된다.","['인간', '목적', '희망', '괴물']"
B. 파스칼,신을 아는 것과 신을 사랑하는 것과는 참으로 거리가 먼 일이다.,"['신(god)', '사랑']"
뉴톤,"신이란 힘으로서, 생명으로서, 질서로서, 미로서, 사상으로서, 양심으로서, 사랑으로서 스스로를 표명하는 우주의 배후와 내부에 있는 창조력이다.",['신(god)']
아라비아 속담,박애 정신이 없는 자는 아무 종교도 못 가진다.,"['박애정신', '종교']"
A. 비어스,종교,"['종교', '무지']"
보브나르그,인생에게 종말이 없었다면 누가 자기 운명에 절망할 것인가. 죽음은 비운을 더없이 괴로운 것으로 만든다.,"['인생', '운명', '죽음']"
라 퐁테느,죽은 제왕보다는 살아 있는 거지가 더 낫다.,"['삶', '생명', '죽음']"
W. 해즐리트,"대중은 수치도, 감사도 모른다.",['대중']
로망 롤랑,대부분의 사람들은 자기들의 계급을 경멸하는 듯이 보이면서 자기들의 계급에서 두각을 나타낼 기회만 노리고 있다.,"['사람', '계급']"
주희,"﻿매일 반성하라. 만약 잘못이 있으면 고치고, 없으면 더 반성해 보라.",['반성']
조지 S. 패튼,목적 없이 사는 것보단 무언가를 위해 싸우는 편이 낫다.,"['목적', '싸움']"
볼테르,"내가 신에게 기도한 적은 딱 한 번 뿐이며, 매우 짧은 기도였다. ""신이여, 저의 적을 어리석게 만들어 주십시오"" 신은 내 기도를 들어주셨다.","['기도', '신(god)']"
밀레,"우리 생활에는 많은 괴로움이 있다. 하지만 모든 괴로움에도 불구하고, 그 근본에 선(善)이라는 행복한 기초가 있어야 한다. 나는 그것을 그리려고 한다.","['생활', '괴로움', '선(good)', '그림']"
이어령,삼월에는 소리가 있다. 침묵 속에서 움트는 소리가 있다. 얼음이 풀리는 강의 소리와 겨울잠에서 깨어난 짐승들의 포효……. 햇살처럼 번져 가는 생명의 소리가 있다. 지층을 뚫고 분출하는 삼월의 소리는 죽은 나뭇가지에 꽃잎을 피우고 망각의 대지에 기억을 소생케 한다.,"['3월', '봄(spring)']"
노먼 더글러스,광고를 보면 그 국민의 이상을 알 수 있다.,"['광고', '국민']"
마셜 매클루언,광고는 20세기의 가장 위대한 예술 형태이다.,"['광고', '예술']"
장 아누이,선전은 유연한 무기이다.,['선전']
새뮤얼 존슨,"Promise, large promise, is the soul of an advertisement.","['약속', '광고']"
괴테,신앙은 지식의 시작이 아니라 끝이다.,"['신앙', '지식']"
나폴레옹,"세계를 움직이는 비결은 하나밖에 없다. 그것은 강력해지는 일이다. 그 이유는 힘 속에는 오류도, 착각도 없기 때문이다.","['힘(power)', '권력']"
나폴레옹,혁명에 있어서 인간은 두 종류로 갈라진다. 원인을 만드는 자와 그것에 의해 이익을 얻는 자.,"['혁명', '인간']"
아우렐리우스,지상의 모든 국가를 한 가족으로 보지 말고 지상(至上)의 우주 국가의 한 시민의 입장에서 생각하라.,"['국가', '시민']"
드러커,오늘날에는 대다수의 사람들이 그 생활의 기회와 취업장을 조직체에다 의존하고 있다. 대조직체는 현대 사회에서 인간의 환경이 되고 말았다.,"['조직', '인간', '생활']"
에머슨,농민의 영광은 노동 분업 중에서도 창조하는 것이 그의 몫이 되는 것이다. 모든 상업도 결국은 농민의 원시적 활동에 의존한다.,"['농민', '상업']"
알랭,어떤 직업에서도 자기가 지배하는 한 유쾌하다. 복종하는 한 불유쾌하다. 전차 운전수는 버스의 운전수만큼 행복하지 않다.,"['직업', '지배']"
맹자,자식에게 채찍을 아끼면 사람을 버린다.,"['자식', '자녀교육', '체벌']"
아놀드 토인비,"인류 역사는 앞으로 20억년, 7,000만 세대가 더 계속될 것이다.오늘의 인간사회의 도덕 수준은 원시 시대만도 못한 데가 있어 크게 우려된다. 이 장구한 역사를 끌고 가는 데는 물질의 힘보다는 도덕의 힘이 더 중요하다. 인류사는 얼마나 빨리 달리느냐보다 어느 방향으로 달리느냐가 더 중요하기
때문이다.","['인류', '역사', '도덕']"
오스카 와일드,교육은 참으로 훌륭한 것이다. 그러나 때로는 우리들 스스로 가치있다고 깨달은 것들은 교육을 통해서 깨우쳐진 것이 아니라는 것을 명심해 두는 것이 좋다.,"['교육', '깨달음']"
보리스 파스테르나크,"사람은 살려고 태어나는 것이지 인생을 준비하려고 태어나는 것은 아니다. 인생 그 자체, 인생의 현상, 인생이 가져다 주는 선물은 숨이 막히도록 진지하다.","['사람', '삶', '인생', '준비']"
넬슨 만델라,"결코 넘어지지 않는 것이 아니라 넘어질 때마다 일어서는 것, 거기에 삶의 가장 큰 영광이 존재한다.","['재기', '삶', '영광']"
빅토르 위고,"궁핍은 영혼과 정신을 낳고, 불행은 위대한 인물을 낳는다.","['궁핍', '불행']"
노먼 빈센트 필,"혼신의 힘을 다해 장애물을 넘는다면, 나머지는 저절로 해결될 것이다.","['장애물', '노력']"
오노레 드 발자크,사람의 얼굴은 하나의 풍경이다. 한 권의 책이다. 얼굴은 결코 거짓말을 하지 않는다.,"['사람', '얼굴']"
톨스토이,"조금 화가 나면 행동을 하기 전에, 또는 말을 하기 전에 열을 세라. 몹시 화가 났을 때는 백을 세라. 화가 나면 날 때마다 이 사실을 상기하면 숫자를 셀 필요조차 없어진다.",['화(anger)']
아리스토틀 오나시스,사업의 비결은 다른 사람들은 아무도 모르고 있는 무엇인가를 아는 것이다.,"['사업', '사업비결']"
맬컴 엑스,"역경보다 더 좋은 것도 없다. 모든 패배와 모든 비탄, 모든 손실은 그것 자신의 씨앗을 가지고 있다. 역경과 실패는 다음번에는 어떻게 대처해야 하는지 알려주며 네 실력을 향상시키는 방법을 알려주는 훌륭한 수업시간이다.","['역경', '실패']"
워즈워드,시는 숨결이며 모든 지식의 보다 훌륭한 정수(精髓)이다. 그것은 모든 과학의 표정 속에 있는 감동된 표현이다.,['시(poetry)']
로렌스,성(性)과 미(美)는 생명과 의식처럼 한 개의 것이다. 성을 미워하는 것은 미를 미워하는 것이다. 미를 사랑하는 자는 성을 존중한다.,"['성(sex)', '미(beauty)']"
미켈란젤로,대리석이 소비될수록 조각은 더욱더 자란다.,['조각']
B. 파스칼,실물에는 하나도 감동을 받지 않으면서 그것이 그림이 되면 꼭 감탄을 한다. 그림이란 그리 허망한가.,"['감동', '그림']"
박명수,가는 말이 고우면 얕본다.,['말(words)']
오스카 와일드,예술은 모방이 끝나는 곳에서 시작된다.,"['예술', '모방']"
도스토예프스키,"예술가란, 항상 자신에게 귀를 기울이고 자기가 들은 것을 마음속에 솔직하게 기록하는 열성 있는 노동자다.",['예술가']
헬렌 켈러,문학은 나의 유토피아이다. 나는 여기서는 권리의 침해를 당하지 않는다. 어떠한 감각의 장벽도 내 책 동무들의 향기롭고 우아한 이야기를 가로막지 못한다. 그들은 아무런 거리낌이나 어색함이 없이 나에게 이야기를 건넨다.,"['문학', '유토피아(utopia)']"
스트라빈스키,음악은 인간이 현재를 인식하는 유일한 영역이다.,"['음악', '인간']"
몽테뉴,세상에서 가장 중요한 일은 어떻게 하면 내가 온전히 나 자신의 주인이 되는가를 아는 일이다.,"['자기자신', '주인']"
M. 아우렐리우스,무엇을 해야 할 것인지 분명히 알 수 있는 능력이 있는데 그대는 무엇을 그렇게 주저하고 있는가? 그대가 가야 할 길이 확실하게 보이면 주저하지 말고 그 길로 곧장 가라.,"['인생', '목적']"
프란츠 카프카,자신을 인식하라는 것은 자신을 관찰하라는 말이 아니다. 이는 자신을 자기 행동의 주인이 되게 하라는 뜻이다.,"['자기자신', '행동']"
이반 투르게네프,"사랑은 죽음보다도, 죽음의 공포보다도 강하다. 단지 사랑에 의해서만 인생은 주어지고 계속 진보한다.","['사랑', '인생']"
마르셀 프루스트,"사랑할 때는 마음의 평화가 있을 수 없다. 자기가 확보한 이점도, 더한 욕망의 새로운 출발점 이외엔 아무 것도 아니기 때문이다.","['사랑', '마음', '평화']"
토머스 페인,노력 없이 얻은 소중한 것들을 너무 가볍게 여기고 있지는 않은가?,"['노력', '소유']"
벤자민 프랭클린,자녀에게 침묵하는 것을 가르쳐라. 말하는 것은 어느새 쉽게 배워 버린다.,"['자녀교육', '침묵']"
쇼펜하우어,모든 예술은 음악의 상태를 지향한다.,"['예술', '음악']"
칼릴 지브란,노래의 비밀은 노래하는 사람의 목소리가 지닌 진동과 듣는 사람의 마음의 떨림 사이에서 발견된다.,"['노래', '목소리']"
칼릴 지브란,노래를 부르기를 스스로 즐거워하기 전에는 노래를 부르는 사람은 그대를 기쁘게 해 줄 수가 없다.,"['노래', '즐거움']"
프란시스 베이컨,그 순간 나오는 생각을 적어라. 골똘히 짜내지 않은 생각들이 보통 가장 가치 있다.,"['글쓰기', '생각']"
T.S. 엘리어트,너무 멀리 갈지 모를 위험을 감수하는 이들만이 얼마나 멀리 갈 수 있는지를 발견할 수 있다.,"['위험', '능력', '자기계발']"
W.H. 오든,"매우 일찍 일어나서 바로 일을 시작해라. 먼저 일하고, 씻는 건 나중에 해라.","['아침', '일(work)']"
알베르트 카뮈,"명확하게 쓰는 사람들은 독자를 갖게 되고, 불명확하게 쓰는 사람들은 평론가를 갖게 된다.","['글쓰기', '독자', '평론가']"
라 로시푸코,"자기의 실력 이하의 지위에 앉으면 큰 인물로 보이지만, 자기 실력 이상의 지위에 앉으면 종종 소인으로 보인다.","['실력', '지위', '인물']"
톨스토이,다정한 벗을 찾기 위해서라면 천리 길도 멀지 않다.,"['벗(friend)', '친구']"
앤드류 매튜스,"두려움에 맞서기로 결심한 순간, 두려움은 증발한다.","['두려움', '결심']"
알랭,"생각을 더 이상 하지 않는 것을 터득하는 것, 그것도 생각하는 기술의 한 방법이지 결코 무시해 버릴 것은 아니다.",['생각']
데일 카네기,실패로부터 성공을 개발하라. 실패는 성공에 이르게 하는 가장 분명한 디딤돌이다.,"['실패', '성공']"
괴테,법률의 힘은 위대하다. 그러나 필봉(筆鋒)의 힘은 더욱 위대하다.,"['법률', '필봉', '언론']"
린든 베인스 존슨,"위대한 사회란 사람들이 자기들 소유물의 양보다, 자기들 목표의 질에 더 관심을 갖는 곳이다.","['사회', '사람', '목표']"
노자(老子),만족할 줄 알면 욕됨을 면한다.,"['소유', '만족', '영역', '처세']"
발타자르 그라시안,"대세를 따르는 길은 검증이 끝난 길이고, 누구나 추구하는 올바른 길이다. 대세를 따르는 것은 언제나 안정성을 보장해 준다.","['대세', '추종', '안정성']"
샤를르 보들레르,우리의 거의 모든 삶이 어리석은 호기심에 낭비되고 있다.,"['삶', '호기심']"
프란시스 베이컨,"연애와 질투만큼 사람을 매혹하는 감정은 다시없다. 이 두 감정은 열렬한 소망을 지니고 있어서 쉽사리 상상이나 암시의 형체를 취하고, 특히 그 대상물 앞에서는 그 감정이 당장 눈에 드러난다. 우리는 또한 성서에서 질투를 악의 눈이라고 부르는 것을 알고 있다. 질투의 작용에는 눈에 마력을 투사한다든지 빛을 발하는 일이 들어 있음을 옛날부터 인정하고 있는 것 같다.","['연애', '질투', '감정']"
『법구경』,"마을과 숲 속, 낮은 곳이나 높은 곳 어디든 성자가 머무시는 곳에는 기쁨이 있다.","['성자', '기쁨']"
파스칼,"호기심은 다름 아닌 허영이다. 대개의 경우, 사람이 알려고 하는 것은 다름 아닌 그것을 말하기 위해서이다.","['호기심', '허영']"
F. 베이컨,속기 쉬운 사람은 속이는 사람이다.,"['속임', '사기']"
스탕달,30세의 남자가 15세의 아가씨를 유혹했다고 하자. 명예를 잃은 것은 아가씨 쪽이다.,"['유혹', '명예']"
애디슨,"자선은 종교의 극치요, 장식이다.","['자선', '종교']"
일본 속담,하루가 늦으면 열흘이 손해.,"['지각', '손해']"
니체,"도덕에의 복종은 노예적이며, 허영이며, 이기적이고, 체념이고, 음울한 광열이며, 절망의 행위다.","['도덕', '복종']"
조오지 워싱턴,중상 모략에 대한 최선의 답은 묵묵히 자신의 의무를 지키는 일이다.,"['중상', '모략', '의무']"
베토벤,"될 수 있는 한, 선을 행하고, 무엇보다도 더 자유를 사랑하고, 가령 왕좌의 밑에 있을지라도, 단연코 진리를 배반하지 않으리.","['선(good)', '자유', '진리']"
몰트케,"나는 항상 젊은이의 실패를 흥미 있게 바라본다. 젊은 시절의 실패는 곧 성공의 토대가 된다. 실패 후에 물러났던가, 다시 일어났던가? 젊은이 앞에는 이 두 길이 있는데 이 순간에 성공 여부는 결정된다.","['청년', '실패', '성공']"
E. 졸라,"청년이여, 청년이여, 항상 정의와 더불어 있어라. 만약 정의의 관념이 그대 속에서 희박하게 되면, 그대는 모든 위험에 빠지게 되리라.","['청년', '정의']"
조지 S. 패튼,용기란 1분 더 길게 공포를 참는 것이다.,"['용기', '공포']"
찰스 디킨스,선교사들이야말로 완벽한 골칫거리들이며 이들은 자신들이 찾아낸 모든 곳들을 훨씬 더 엉망으로 만들어 놓는다.,['선교사']
왕양명,"겸허하게 행동하면 선이 모여들고, 거만하게 행동하면 악이 모여든다.","['겸허', '선(good)', '거만', '악(evil)']"
알버트 아인슈타인,질문을 멈추지 않는 것이 가장 중요하다. 호기심은 그 나름의 존재 이유가 있다.,"['질문', '호기심']"
이순신,"죽고자 하는 자는 살 것이요, 살고자 하는 자는 죽을 것이다.","['죽음', '삶']"
나다니엘 호손,모든 사람은 세상에서 맡아야 할 역할이 있다. 어떤 면에서는 각자가 그것을 선택하느냐 그렇지 않느냐가 중요하다.,"['사람', '역할']"
빅토르 위고,인생의 가장 아름다운 날들은 우리가 아직 살지 않은 날들이다.,"['인생', '삶']"
발타자르 그라시안,무지처럼 보이는 것은 때때로 최대의 지혜이다.,"['무지', '지혜']"
토마스 칼라일,가능하다 싶은 일들을 그저 바라만 보는것이 아니라 필요한 일을 하는 것이 우리가 할 일이다.,"['일(work)', '과업']"
플라톤,남의 말을 열심히 듣는 사람은 말하는 사람 입장에서는 진실한 벗과 같다.,"['말(words)', '경청']"
디즈렐리,대학은 빛과 자유와 학문의 장소여야 한다.,"['대학', '학문']"
공자,옛날 학자들은 몸을 닦기 위해 공부했는데 오늘날 학자들은 남에게 알려지기 위해 공부하고 있다.,"['학자', '공부']"
셰익스피어,모든 인간의 생활에 역사가 있다.,"['인간', '역사']"
법정(法頂),우리가 지금 이 순간 전 존재를 기울여 누군가를 사랑하고 있다면이 다음에는 더욱 많은 이웃들을 사랑할 수 있다. 다음 순간은 지금 이 순간에서 태어나기 때문이다. 지금이 바로 그때이지 시절이 따로 있는 것이 아니다.,"['지금', '사랑']"
법정(法頂),"가슴은 존재의 핵심이고 중심이다. 가슴 없이는 아무것도 존재할 수 없다. 생명의 신비인 사람도, 다정한 눈빛도, 정겨운 음성도 가슴에서 싹이 튼다. 가슴은 이렇듯 생명의 중심이다.","['가슴', '마음']"
호메로스,복수는 흐르는 꿀보다 훨씬 달다.,['복수']
사르트르,나는 폭력에 대해서 하나의 무기밖에 갖고 있지 않았다. 그것은 폭력이다.,['폭력']
소크라테스,"선한 사람들은 살기 위하여 먹고 마시지만, 악한 사람들은 먹고 마시기 위해서 산다.","['선인', '악인', '삶']"
A. 테니슨,적이 한 사람도 없는 사람을 친구로 삼지 마라.,"['친구', '인간관계']"
생텍쥐페리,"소유욕과 사랑을 혼동하지 말라. 사랑은 고통을 주지 않는다. 고통을 주는 건 소유에 대한 집착이며, 그것은 사랑의 반대말이다.","['소유욕', '사랑']"
『신약성서』,"좁은 문으로 들어가라. 멸망으로 인도하는 문은 크고 그 길이 넓어 그리로 들어가는 자가 많고, 생명으로 인도하는 문은 좁고 길이 협착하여 찾는 이가 적음이니라.","['멸망', '생명', '선택', '삶']"
헬렌 켈러,혼자서 할 수 있는 일은 작다. 그러나 함께 하면 더 큰일을 할 수 있다.,"['일(work)', '협력']"
에픽테토스,"우리의 생활에서 지나치게 많은 시간을 육체적인 일에 집중해서는 안 된다. 예를 들면, 음식을 탐한다든지 오락과 유흥에 몰두한다든지, 그런 것은 사람의 품성을 낮게 하는 결과를 만든다.","['생활', '사람', '품성']"
『탈무드』,사람은 입이 하나 귀가 둘이다. 이것은 듣기를 배로 하라는 것이다.,"['말(words)', '대화', '경청']"
톨스토이,남을 정면으로 비난하는 것은 좋지 않다. 그를 망신시키기 때문이다. 보이지 않는 곳에서 비난하는 것은 불성실하다. 덕을 기만하는 것이 되기 때문이다.,"['비난', '덕(virtue)']"
『구약성서』,지혜 있는 자의 교훈은 생명의 샘이라. 사람으로 사망의 그물을 벗어나게 하느니라.,"['지혜', '교훈']"
『탈무드』,당신은 자신에게 적당하다고 여기는 자리보다 낮은 자리를 잡아라. 다른 사람으로부터 ‘내려앉으시오’라는 말을 듣느니보다는 ‘올라앉으시오’라는 말을 듣는 편이 낫다.,"['지위', '자리', '처세']"
『탈무드』,훌륭한 사상은 역시 훌륭한 인격에 담긴다. 작은 그릇에는 적은 음식밖에 담을 수 없듯이 인격이 작고선 큰 사상을 담을 도리가 없다.,"['사상', '인격']"
영국 속담,용감한 퇴각은 용감한 공훈이다.,"['퇴각', '공훈']"
와일드,인간의 가치는 그 소유물에 의하는 것이 아니라 그 인격에 있다.,"['인간', '인격']"
L.C. 보브나르그,우리의 가장 확실한 보호자는 재능이다.,['재능']
